source,target,value
"inj_animal_nonven","Fracture of patella, tibia, fibula, or ankle",.5139776
"inj_trans_road_2wheel","Fracture of patella, tibia, fibula, or ankle",11.31695
"inj_mech_other","Fracture of patella, tibia, fibula, or ankle",8.129406
"inj_falls","Fracture of patella, tibia, fibula, or ankle",80.25472
"inj_animal_venom","Fracture of patella, tibia, fibula, or ankle",.101934
"inj_homicide_gun","Fracture of patella, tibia, fibula, or ankle",.3525287
"inj_mech_suffocate","Fracture of patella, tibia, fibula, or ankle",1.923868
"inj_suicide","Fracture of patella, tibia, fibula, or ankle",.1811527
"inj_trans_road_other","Fracture of patella, tibia, fibula, or ankle",2.345462
"inj_mech_gun","Fracture of patella, tibia, fibula, or ankle",1.017556
"inj_trans_road_pedest","Fracture of patella, tibia, fibula, or ankle",25.54276
"inj_drowning","Fracture of patella, tibia, fibula, or ankle",.4432332
"inj_foreign_aspiration","Fracture of patella, tibia, fibula, or ankle",.1392815
"inj_foreign_eye","Fracture of patella, tibia, fibula, or ankle",.013742
"inj_trans_road_4wheel","Fracture of patella, tibia, fibula, or ankle",85.30684
"inj_trans_other","Fracture of patella, tibia, fibula, or ankle",13.91138
"inj_fires","Fracture of patella, tibia, fibula, or ankle",1.325191
"inj_poisoning","Fracture of patella, tibia, fibula, or ankle",.2603577
"inj_foreign_aspiration","Fracture of pelvis",.0361314
"inj_trans_road_2wheel","Fracture of pelvis",1.815283
"inj_mech_gun","Fracture of pelvis",.1708446
"inj_homicide_knife","Fracture of pelvis",.0133691
"inj_othunintent","Fracture of pelvis",6.882323
"inj_trans_road_4wheel","Fracture of pelvis",15.59902
"inj_suicide","Fracture of pelvis",.0343496
"inj_fires","Fracture of pelvis",.3191064
"inj_homicide_gun","Fracture of pelvis",.0899161
"inj_drowning","Fracture of pelvis",.141172
"inj_mech_other","Fracture of pelvis",1.143201
"inj_animal_nonven","Fracture of pelvis",.0441696
"inj_animal_venom","Fracture of pelvis",.0527017
"inj_mech_suffocate","Fracture of pelvis",.0949366
"inj_trans_other","Fracture of pelvis",3.684362
"inj_trans_road_pedest","Fracture of pelvis",12.14759
"inj_poisoning","Fracture of pelvis",.0447731
"inj_foreign_eye","Fracture of pelvis",.0060344
"inj_falls","Fracture of pelvis",35.62928
"inj_foreign_other","Fracture of pelvis",.0157548
"inj_trans_road_pedal","Fracture of pelvis",1.741132
"inj_homicide_other","Fracture of pelvis",.1703957
"inj_trans_road_other","Fracture of pelvis",.4182593
"inj_homicide_other","Fracture of radius or ulna",1.256942
"inj_trans_road_4wheel","Fracture of radius or ulna",23.71763
"inj_animal_venom","Fracture of radius or ulna",.2207086
"inj_mech_gun","Fracture of radius or ulna",.5840252
"inj_foreign_aspiration","Fracture of radius or ulna",.5844465
